ent,mun,est,pea,ocupados,informales
6,1,2,1.747,2.806,4.714
6,1,3,62.905,93.471,56.191
6,1,4,68.653,98.27,71.698
6,1,5,2.656,2.861,7.372
6,2,1,63.452,98.122,44.764
6,2,2,1.281,2.004,2.126
6,2,3,61.345,94.825,41.268
6,2,4,65.559,98.198,48.261
6,2,5,2.019,2.042,4.749
6,3,1,61.471,98.171,64.872
6,3,2,3.038,4.701,9.825
6,3,3,56.474,90.438,48.71
6,3,4,66.467,98.375,81.033
6,3,5,4.941,4.789,15.146
6,4,1,64.311,98.575,59.649
6,4,2,1.547,2.635,6.78
6,4,3,61.767,94.24,48.497
6,4,4,66.855,98.755,70.8
6,4,5,2.405,2.673,11.366
6,5,1,63.692,97.617,53.966
6,5,2,2.633,3.994,6.272
6,5,3,59.361,91.048,43.649
6,5,4,68.023,97.809,64.283
6,5,5,4.134,4.091,11.622
6,6,1,63.998,97.674,83.368
6,6,2,2.707,4.049,5.864
6,6,3,59.546,91.013,73.722
6,6,4,68.451,98.1,93.013
6,6,5,4.229,4.146,7.034
6,7,1,68.167,97.984,44.048
6,7,2,1.304,1.895,2.905
6,7,3,66.022,94.867,39.27
6,7,4,70.312,98.055,48.826
6,7,5,1.913,1.934,6.595
6,8,1,65.561,100,52.435
6,8,2,2.482,1.236,4.905
6,8,3,61.479,97.967,44.367
6,8,4,69.643,100,60.503
6,8,5,3.785,1.236,9.354
6,9,1,67.736,97.663,57.149
6,9,2,1.404,2.077,2.996
6,9,3,65.426,94.247,52.22
6,9,4,70.046,97.763,62.077
6,9,5,2.073,2.127,5.243
6,10,1,67.446,97.36,42.995
6,10,2,1.077,1.595,1.909
6,10,3,65.675,94.738,39.855
6,10,4,69.217,99.983,46.136
6,10,5,1.596,1.638,4.44
7,0,1,56.641,97.512,73.893
7,0,2,0.677,0.252,1.293
7,0,3,55.528,97.098,71.766
7,0,4,57.754,97.926,76.02
7,0,5,1.195,0.258,1.75
7,1,1,57.778,98.503,74.645
7,1,2,2.938,4.822,6.337
7,1,3,52.945,90.571,64.222
7,1,4,62.611,98.727,85.068
7,1,5,5.086,4.895,8.489
7,2,1,59.14,97.817,79.398
7,2,2,2.92,4.67,9.533
7,2,3,54.337,90.134,63.717
7,2,4,63.942,98.061,95.078
7,2,5,4.937,4.775,12.007
7,3,1,55.145,98.545,73.821
7,3,2,2.933,5.044,10.077
7,3,3,50.32,90.248,57.246
7,3,4,59.969,98.726,90.397
7,3,5,5.319,5.119,13.651
7,4,1,55.409,99.013,88.424
7,4,2,2.409,4.214,6.377
7,4,3,51.446,92.083,77.935
7,4,4,59.372,99.149,98.913
7,4,5,4.348,4.256,7.212
7,5,1,54.282,98.666,98.118
7,5,2,2.919,5.104,10.538
7,5,3,49.48,90.271,80.785
7,5,4,59.084,98.857,98.348
7,5,5,5.378,5.173,10.74
7,6,1,51.421,97.328,77.131
7,6,2,2.528,4.762,6.908
7,6,3,47.263,89.495,65.768
7,6,4,55.579,97.573,88.494
7,6,5,4.916,4.893,8.956
7,7,1,64.416,97.94,100
7,7,2,2.981,4.386,8.603
7,7,3,59.514,90.725,85.849
7,7,4,69.319,98.257,100
7,7,5,4.627,4.478,8.603
7,8,1,60.285,98.174,83.942
7,8,2,2.929,4.603,9.38
7,8,3,55.466,90.603,68.514
7,8,4,65.103,98.359,99.37
7,8,5,4.859,4.689,11.174
7,9,1,54.733,97.434,62.321
7,9,2,2.433,4.318,6.244
7,9,3,50.731,90.332,52.051
7,9,4,58.736,97.628,72.592
7,9,5,4.446,4.432,10.019
7,10,1,48.53,98.882,99.676
7,10,2,2.578,5.144,7.962
7,10,3,44.29,90.421,86.58
7,10,4,52.771,99.195,99.826
7,10,5,5.312,5.202,7.987
7,11,1,51.408,98.649,100
7,11,2,2.886,5.326,10.994
7,11,3,46.661,89.889,81.917
7,11,4,56.155,98.861,100
7,11,5,5.614,5.399,10.994
7,12,1,59.734,97.619,70.71
7,12,2,2.948,4.669,9.366
7,12,3,54.885,89.94,55.304
7,12,4,64.583,97.768,86.115
7,12,5,4.935,4.783,13.245
7,13,1,56.061,98.588,83.013
7,13,2,2.352,4.11,2.567
7,13,3,52.192,91.828,78.79
7,13,4,59.93,98.755,87.236
7,13,5,4.196,4.169,3.093
7,14,1,52.499,98.992,100
7,14,2,2.955,5.353,10.782
7,14,3,47.638,90.186,82.266
7,14,4,57.359,99.163,100
7,14,5,5.629,5.408,10.782
7,15,1,55.131,98.801,76.296
7,15,2,2.397,4.228,6.134
7,15,3,51.189,91.846,66.206
7,15,4,59.073,98.924,86.386
7,15,5,4.347,4.28,8.04
7,16,1,53.272,96.703,81.929
7,16,2,1.811,3.642,3.875
7,16,3,50.293,90.713,75.555
7,16,4,56.252,97.041,88.304
7,16,5,3.4,3.766,4.73
7,17,1,62.56,98.205,64.227
7,17,2,2.342,3.638,5.142
7,17,3,58.709,92.22,55.769
7,17,4,66.412,98.312,72.685
7,17,5,3.743,3.705,8.006
7,18,1,55.313,98.729,97.83
7,18,2,2.9,4.975,10.291
7,18,3,50.542,90.546,80.902
7,18,4,60.084,99.005,98.201
7,18,5,5.244,5.039,10.519
7,19,1,61.545,98.744,70.58
7,19,2,2.036,3.032,6.403
7,19,3,58.197,93.756,60.048
7,19,4,64.893,98.81,81.112
7,19,5,3.308,3.071,9.072
7,20,1,56.476,97.97,86.162
7,20,2,2.906,4.869,10.067
7,20,3,51.697,89.962,69.604
7,20,4,61.255,98.131,86.594
7,20,5,5.145,4.97,11.683
7,21,1,55.693,98.201,82.614
7,21,2,2.915,4.958,10.1
7,21,3,50.898,90.047,66.002
7,21,4,60.488,98.423,99.227
7,21,5,5.234,5.048,12.225
7,22,1,53.529,99.409,100
7,22,2,2.991,5.325,10.073
7,22,3,48.609,90.65,83.431
7,22,4,58.448,99.548,100
7,22,5,5.588,5.357,10.073
